model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 3 Series,2014,-4286,Automatic,30487,Diesel,-43,117.17,2.72
 X3,2017,22374,Automatic,27017,Petrol,122,78.92,2.57
 4 Series,2016,8210,Automatic,17017,Petrol,234,64.5,2.85
 1 Series,2016,22241,Manual,57014,Petrol,241,27.24,2.94
 M4,2015,34525,Automatic,-13443,Diesel,143,35.34,2.55
 X1,2020,14263,Semi-Auto,18597,Petrol,160,83.8,2.89
 4 Series,2016,17759,Manual,84316,Diesel,121,46.33,2.04
 X4,2014,22390,Automatic,18612,Petrol,130,88.8,3.46
 4 Series,2018,24383,Semi-Auto,38916,Diesel,97,-3.4,2.63
 3 Series,2019,4765,Manual,-844,Diesel,32,70.11,3.04
 2 Series,2016,12878,Automatic,-13730,Petrol,212,67.25,1.74
 X1,2020,16090,Semi-Auto,30456,Diesel,152,58.88,2.5
 1 Series,2016,46171,Automatic,-8279,Petrol,69,59.09,3.13
 1 Series,2016,23623,Semi-Auto,48094,Petrol,67,71.96,2.29
 3 Series,2013,22781,Automatic,-527,Petrol,197,72.0,1.79
 M4,2015,32342,Automatic,52296,Diesel,151,73.17,2.38
 4 Series,2017,36551,Automatic,61582,Diesel,91,115.5,2.91
 3 Series,2020,12542,Automatic,30878,Petrol,141,69.45,2.3
 5 Series,2020,27217,Automatic,38261,Diesel,81,62.21,3.24
 3 Series,2020,6153,Semi-Auto,-4707,Petrol,270,59.39,2.34
 5 Series,2016,14938,Automatic,10041,Diesel,153,51.97,1.94
 1 Series,2017,23999,Automatic,29236,Petrol,230,83.5,3.11
 3 Series,2015,35702,Semi-Auto,30634,Petrol,123,54.43,2.18
 1 Series,2016,35384,Manual,54067,Diesel,93,84.96,1.36
 X3,2017,16712,Manual,41029,Diesel,198,16.87,1.65
 4 Series,2023,20572,Semi-Auto,37769,Diesel,209,55.57,1.82
 X3,2016,8735,Semi-Auto,36129,Diesel,20,87.67,2.75
 4 Series,2015,6665,Semi-Auto,57164,Diesel,212,70.18,1.77
 1 Series,2016,20127,Semi-Auto,32246,Diesel,47,6.9,1.75
 4 Series,2018,15280,Semi-Auto,981,Diesel,132,63.36,2.79
 X3,2016,39702,Automatic,26479,Petrol,168,19.62,2.19
 X1,2020,23110,Manual,23162,Petrol,234,46.64,2.98
 3 Series,2019,24650,Semi-Auto,-5504,Diesel,147,28.35,1.56
 3 Series,2015,17190,Manual,32576,Diesel,121,18.2,2.6
 4 Series,2016,27489,Manual,28418,Diesel,250,36.1,1.47
 X5,2020,38960,Semi-Auto,33860,Diesel,48,54.04,3.03
 X1,2014,16173,Semi-Auto,997,Petrol,289,111.76,1.97
 X1,2018,24765,Automatic,-17750,Petrol,227,44.07,2.98
 X3,2017,26166,Manual,-17905,Diesel,178,73.19,1.86
 3 Series,2014,42787,Automatic,-3199,Diesel,71,7.53,2.77
 2 Series,2014,37658,Automatic,5258,Diesel,159,85.85,2.54
 1 Series,2015,20848,Manual,27106,Diesel,109,64.67,2.26
 X1,2016,-678,Semi-Auto,63426,Diesel,123,66.07,2.72
 5 Series,2017,33004,Manual,-8334,Petrol,199,14.51,2.67
 1 Series,2018,33078,Semi-Auto,-17359,Diesel,124,51.22,2.12
 1 Series,2016,17891,Semi-Auto,1928,Diesel,47,44.03,2.48
 X1,2017,10113,Automatic,25977,Diesel,212,13.51,2.7
 4 Series,2019,14727,Automatic,23775,Diesel,101,120.98,2.5
 5 Series,2012,15634,Automatic,45289,Hybrid,69,18.58,2.63
 2 Series,2013,30040,Semi-Auto,34952,Petrol,141,117.65,2.22
